"AgeGroup","Period","fraction_away","mean_distance","mean_distance_active","volume","dist_p90","var_distance","fraction_away_baseline","mean_distance_baseline","mean_distance_active_baseline","volume_baseline","dist_p90_baseline","var_distance_baseline","change_fraction_away","change_mean_distance_active","change_volume","pct_change_volume","pct_change_distance"
"31-55","2013–2015",0.317374556548384,4.65099525647716,14.8160522105696,111.623886155452,15.4047492246275,20.1220712463596,0.309025700730903,4.49595160081382,14.7190539080711,107.902838419532,18.0048110043522,18.6743649134003,0.00834885581748079,0.096998302498454,3.72104773592024,3.44851700884143,0.658998214859894
"31-55","2016–2018",0.324058866926898,4.802130470286,14.9640378157362,115.251131286864,16.3261119180074,21.3437284003877,0.309025700730903,4.49595160081382,14.7190539080711,107.902838419532,18.0048110043522,18.6743649134003,0.0150331661959956,0.244983907665112,7.34829286733243,6.81010154594998,1.66439982620606
"31-55","2019–2021",0.289518123118653,4.45125933483004,15.5501043268806,106.830224035921,16.0828215367546,18.8543114625329,0.309025700730903,4.49595160081382,14.7190539080711,107.902838419532,18.0048110043522,18.6743649134003,-0.0195075776122499,0.831050418809486,-1.07261438361071,-0.994055762870977,5.64608584220066
"31-55","2022–2024",0.29701314765923,4.51367851729872,15.3422162751625,108.328284415169,31.3863140940944,18.2748953700326,0.309025700730903,4.49595160081382,14.7190539080711,107.902838419532,18.0048110043522,18.6743649134003,-0.0120125530716726,0.623162367091366,0.425445995637503,0.394286194755459,4.23371210529814
"56-65","2007–2009",0.233711477746685,3.0252430699188,13.0677049613073,72.6058336780511,14.2552167788877,7.84817715432756,0.244444766484325,3.47536973854931,14.2973953845732,83.4088737251835,15.678754288591,11.0246937734365,-0.0107332887376393,-1.22969042326593,-10.8030400471324,-12.9519073506811,-8.60080028697227
"56-65","2010–2012",0.221810817387079,3.02771017289205,13.7423358056848,72.6650441494092,15.4366396115337,7.59993776071515,0.244444766484325,3.47536973854931,14.2973953845732,83.4088737251835,15.678754288591,11.0246937734365,-0.0226339490972461,-0.555059578888397,-10.7438295757743,-12.8809191347832,-3.88224263202026
"56-65","2013–2015",0.227972421684128,3.1357867951579,13.9048442461466,75.2588830837895,14.8299476919167,8.71992120215065,0.244444766484325,3.47536973854931,14.2973953845732,83.4088737251835,15.678754288591,11.0246937734365,-0.0164723448001967,-0.392551138426608,-8.14999064139403,-9.77113138854591,-2.74561294464982
"56-65","2016–2018",0.262095823924188,3.53677155452288,13.644396136559,84.8825173085492,15.0340997891582,11.3161255638697,0.244444766484325,3.47536973854931,14.2973953845732,83.4088737251835,15.678754288591,11.0246937734365,0.0176510574398632,-0.652999248014185,1.47364358336567,1.76677074938219,-4.5672601928514
"56-65","2019–2021",0.259483021217577,3.92184919881766,15.2447918702779,94.1243807716238,17.5273398146032,13.5031534050654,0.244444766484325,3.47536973854931,14.2973953845732,83.4088737251835,15.678754288591,11.0246937734365,0.0150382547332525,0.947396485704667,10.7155070464403,12.8469628804075,6.6263571806016
"56-65","2022–2024",0.261595036946291,4.2048576399866,16.1802992874636,100.916583359678,16.9892820454467,17.1608475544906,0.244444766484325,3.47536973854931,14.2973953845732,83.4088737251835,15.678754288591,11.0246937734365,0.0171502704619664,1.88290390289045,17.5077096344948,20.9902242442205,13.1695588758922
"66+","2007–2009",0.0960256308626178,1.06000572741047,10.967899131496,25.4401374578512,13.8998417517311,0.801157152713855,0.0967454283105798,1.13465630416261,11.7435683623854,27.2317512999027,21.2046333708009,0.986229754621891,-0.000719797447962064,-0.775669230889388,-1.79161384205152,-6.57913559183364,-6.60505569477377
"66+","2010–2012",0.0913309496858258,1.03261441149863,11.435621312251,24.7827458759671,14.4549830286204,0.908845975092562,0.0967454283105798,1.13465630416261,11.7435683623854,27.2317512999027,21.2046333708009,0.986229754621891,-0.00541447862475397,-0.30794705013443,-2.44900542393559,-8.9931984063924,-2.62226131471916
"66+","2013–2015",0.0895096178441105,0.992147176451117,11.1381258805904,23.8115322348268,14.6670088782574,0.743544315980696,0.0967454283105798,1.13465630416261,11.7435683623854,27.2317512999027,21.2046333708009,0.986229754621891,-0.0072358104664693,-0.605442481795004,-3.42021906507589,-12.5596735494867,-5.15552396947961
"66+","2016–2018",0.10013226467383,1.15733190335841,11.6650273348507,27.7759656806018,44.1976365709457,1.07995891623582,0.0967454283105798,1.13465630416261,11.7435683623854,27.2317512999027,21.2046333708009,0.986229754621891,0.00338683636325064,-0.0785410275346852,0.544214380699081,1.9984553130853,-0.668800360427515
"66+","2019–2021",0.100418943955561,1.30499985033563,12.9319557169489,31.3199964080552,20.9083299952736,1.12388326378451,0.0967454283105798,1.13465630416261,11.7435683623854,27.2317512999027,21.2046333708009,0.986229754621891,0.00367351564498151,1.18838735456347,4.08824510815253,15.0127880617327,10.1194740635212
"66+","2022–2024",0.103055162841533,1.26083875592142,12.3227807981754,30.2601301421141,19.0999999999773,1.25998890392391,0.0967454283105798,1.13465630416261,11.7435683623854,27.2317512999027,21.2046333708009,0.986229754621891,0.00630973453095315,0.579212435790039,3.02837884221139,11.1207641728948,4.93216727587888
