"SessionId","AgeGroup","Age","Year","TimeMSM","r_rad_km","d_cum_km","is_away","time_away_pct"
59320,"66+",73,2007,75,0,0,0,0
59320,"66+",73,2007,90,0,0,0,0
59320,"66+",73,2007,105,0,0,0,0
59320,"66+",73,2007,120,0,0,0,0
59320,"66+",73,2007,135,0,0,0,0
59320,"66+",73,2007,150,0,0,0,0
59320,"66+",73,2007,165,0,0,0,0
59320,"66+",73,2007,180,0,0,0,0
59320,"66+",73,2007,195,0,0,0,0
59320,"66+",73,2007,210,0,0,0,0
59320,"66+",73,2007,225,0,0,0,0
59320,"66+",73,2007,240,0,0,0,0
59320,"66+",73,2007,255,0,0,0,0
59320,"66+",73,2007,270,0,0,0,0
59320,"66+",73,2007,285,0,0,0,0
59320,"66+",73,2007,300,0,0,0,0
59320,"66+",73,2007,315,0,0,0,0
59320,"66+",73,2007,330,0,0,0,0
59320,"66+",73,2007,345,0,0,0,0
59320,"66+",73,2007,360,0,0,0,0
59320,"66+",73,2007,375,0,0,0,0
59320,"66+",73,2007,390,0,0,0,0
59320,"66+",73,2007,405,0,0,0,0
59320,"66+",73,2007,420,0,0,0,0
59320,"66+",73,2007,435,0,0,0,0
59320,"66+",73,2007,450,0,0,0,0
59320,"66+",73,2007,465,0,0,0,0
59320,"66+",73,2007,480,0,0,0,0
59320,"66+",73,2007,495,0,0,0,0
59320,"66+",73,2007,510,0,0,0,0
59320,"66+",73,2007,525,0,0,0,0
59320,"66+",73,2007,540,0,0,0,0
59320,"66+",73,2007,555,0,0,0,0
59320,"66+",73,2007,570,0,0,0,0
59320,"66+",73,2007,585,0,0,0,0
59320,"66+",73,2007,600,0,0,0,0
59320,"66+",73,2007,615,0,0,0,0
59320,"66+",73,2007,630,0,0,0,0
59320,"66+",73,2007,645,0,0,0,0
59320,"66+",73,2007,660,0,0,0,0
59320,"66+",73,2007,675,0,0,0,0
59320,"66+",73,2007,690,0,0,0,0
59320,"66+",73,2007,705,0,0,0,0
59320,"66+",73,2007,720,0,0,0,0
59320,"66+",73,2007,735,0,0,0,0
59320,"66+",73,2007,750,0,0,0,0
59320,"66+",73,2007,765,0,0,0,0
59320,"66+",73,2007,780,4.1,0,1,1.03092783505155
59320,"66+",73,2007,795,4.1,0,1,2.06185567010309
59320,"66+",73,2007,810,4.1,0,1,3.09278350515464
59320,"66+",73,2007,825,4.1,0,1,4.12371134020619
59320,"66+",73,2007,840,0,4.05999994277954,0,4.12371134020619
59320,"66+",73,2007,840,0,8.11999988555908,0,4.12371134020619
59320,"66+",73,2007,855,0,8.11999988555908,0,4.12371134020619
59320,"66+",73,2007,870,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,885,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,900,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,915,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,930,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,945,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,960,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,975,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,990,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1005,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1020,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1035,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1050,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1065,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1080,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1095,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1110,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1125,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1140,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1155,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1170,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1185,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1200,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1215,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1230,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1245,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1260,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1275,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1290,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1305,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1320,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1335,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1350,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1365,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1380,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1395,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1410,0,12.1799998283386,0,4.12371134020619
59320,"66+",73,2007,1425,0,12.1799998283386,0,4.12371134020619
59323,"18-30",21,2007,0,0,0,0,0
59323,"18-30",21,2007,15,0,0,0,0
59323,"18-30",21,2007,30,0,0,0,0
59323,"18-30",21,2007,45,0,0,0,0
59323,"18-30",21,2007,60,0,0,0,0
59323,"18-30",21,2007,75,0,0,0,0
59323,"18-30",21,2007,90,0,0,0,0
59323,"18-30",21,2007,105,0,0,0,0
59323,"18-30",21,2007,120,0,0,0,0
59323,"18-30",21,2007,135,0,0,0,0
59323,"18-30",21,2007,150,0,0,0,0
59323,"18-30",21,2007,165,0,0,0,0
59323,"18-30",21,2007,180,0,0,0,0
59323,"18-30",21,2007,195,0,0,0,0
59323,"18-30",21,2007,210,0,0,0,0
59323,"18-30",21,2007,225,0,0,0,0
59323,"18-30",21,2007,240,0,0,0,0
59323,"18-30",21,2007,255,0,0,0,0
59323,"18-30",21,2007,270,0,0,0,0
59323,"18-30",21,2007,285,0,0,0,0
59323,"18-30",21,2007,300,0,0,0,0
59323,"18-30",21,2007,315,0,0,0,0
59323,"18-30",21,2007,330,0,0,0,0
59323,"18-30",21,2007,345,0,0,0,0
59323,"18-30",21,2007,360,0.5,0,1,1.04166666666667
59323,"18-30",21,2007,375,75.8,0.490000009536743,1,2.08333333333333
59323,"18-30",21,2007,390,75.8,0.490000009536743,1,3.125
59323,"18-30",21,2007,405,75.8,0.490000009536743,1,4.16666666666667
59323,"18-30",21,2007,420,75.8,0.490000009536743,1,5.20833333333333
59323,"18-30",21,2007,435,75.8,0.490000009536743,1,6.25
59323,"18-30",21,2007,450,75.8,0.490000009536743,1,7.29166666666667
59323,"18-30",21,2007,465,75.8,0.490000009536743,1,8.33333333333333
59323,"18-30",21,2007,480,75.8,0.490000009536743,1,9.375
59323,"18-30",21,2007,495,75.8,0.490000009536743,1,10.4166666666667
59323,"18-30",21,2007,510,75.8,0.490000009536743,1,11.4583333333333
59323,"18-30",21,2007,525,0.5,75.809999704361,1,12.5
59323,"18-30",21,2007,540,0.5,75.809999704361,1,13.5416666666667
59323,"18-30",21,2007,555,0.5,75.809999704361,1,14.5833333333333
59323,"18-30",21,2007,570,0.5,75.809999704361,1,15.625
59323,"18-30",21,2007,585,0.5,75.809999704361,1,16.6666666666667
59323,"18-30",21,2007,600,0.5,75.809999704361,1,17.7083333333333
59323,"18-30",21,2007,615,0.5,75.809999704361,1,18.75
59323,"18-30",21,2007,630,0.5,75.809999704361,1,19.7916666666667
59323,"18-30",21,2007,645,0.5,75.809999704361,1,20.8333333333333
59323,"18-30",21,2007,660,0.5,75.809999704361,1,21.875
59323,"18-30",21,2007,675,0.5,75.809999704361,1,22.9166666666667
59323,"18-30",21,2007,690,0.5,75.809999704361,1,23.9583333333333
59323,"18-30",21,2007,705,0.5,75.809999704361,1,25
59323,"18-30",21,2007,720,0.5,75.809999704361,1,26.0416666666667
59323,"18-30",21,2007,735,0.5,75.809999704361,1,27.0833333333333
59323,"18-30",21,2007,750,0.5,75.809999704361,1,28.125
59323,"18-30",21,2007,765,0.5,75.809999704361,1,29.1666666666667
59323,"18-30",21,2007,780,0.5,75.809999704361,1,30.2083333333333
59323,"18-30",21,2007,795,0.5,75.809999704361,1,31.25
59323,"18-30",21,2007,810,0.5,75.809999704361,1,32.2916666666667
59323,"18-30",21,2007,825,0.5,75.809999704361,1,33.3333333333333
59323,"18-30",21,2007,840,0.5,75.809999704361,1,34.375
59323,"18-30",21,2007,855,0.5,75.809999704361,1,35.4166666666667
59323,"18-30",21,2007,870,0.5,75.809999704361,1,36.4583333333333
59323,"18-30",21,2007,885,0.5,75.809999704361,1,37.5
59323,"18-30",21,2007,900,0.5,75.809999704361,1,38.5416666666667
59323,"18-30",21,2007,915,0.5,75.809999704361,1,39.5833333333333
59323,"18-30",21,2007,930,0,151.129999399185,0,39.5833333333333
59323,"18-30",21,2007,945,0,151.129999399185,0,39.5833333333333
59323,"18-30",21,2007,960,0,151.129999399185,0,39.5833333333333
59323,"18-30",21,2007,975,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,990,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1005,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1020,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1035,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1050,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1065,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1080,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1095,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1110,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1125,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1140,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1155,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1170,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1185,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1200,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1215,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1230,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1245,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1260,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1275,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1290,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1305,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1320,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1335,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1350,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1365,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1380,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1395,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1410,0,151.619999408722,0,39.5833333333333
59323,"18-30",21,2007,1425,0,151.619999408722,0,39.5833333333333
59324,"10-17",14,2007,0,0,0,0,0
59324,"10-17",14,2007,15,0,0,0,0
59324,"10-17",14,2007,30,0,0,0,0
59324,"10-17",14,2007,45,0,0,0,0
59324,"10-17",14,2007,60,0,0,0,0
59324,"10-17",14,2007,75,0,0,0,0
59324,"10-17",14,2007,90,0,0,0,0
59324,"10-17",14,2007,105,0,0,0,0
59324,"10-17",14,2007,120,0,0,0,0
59324,"10-17",14,2007,135,0,0,0,0
59324,"10-17",14,2007,150,0,0,0,0
59324,"10-17",14,2007,165,0,0,0,0
59324,"10-17",14,2007,180,0,0,0,0
59324,"10-17",14,2007,195,0,0,0,0
59324,"10-17",14,2007,210,0,0,0,0
59324,"10-17",14,2007,225,0,0,0,0
59324,"10-17",14,2007,240,0,0,0,0
59324,"10-17",14,2007,255,0,0,0,0
59324,"10-17",14,2007,270,0,0,0,0
59324,"10-17",14,2007,285,0,0,0,0
59324,"10-17",14,2007,300,0,0,0,0
59324,"10-17",14,2007,315,0,0,0,0
59324,"10-17",14,2007,330,0,0,0,0
59324,"10-17",14,2007,345,0,0,0,0
59324,"10-17",14,2007,360,0,0,0,0
59324,"10-17",14,2007,375,0,0,0,0
59324,"10-17",14,2007,390,0,0,0,0
59324,"10-17",14,2007,405,0,0,0,0
59324,"10-17",14,2007,420,0,0,0,0
59324,"10-17",14,2007,435,0,0,0,0
59324,"10-17",14,2007,450,0,0,0,0
59324,"10-17",14,2007,465,0,0,0,0
59324,"10-17",14,2007,480,0,0,0,0
59324,"10-17",14,2007,495,0,0,0,0
59324,"10-17",14,2007,510,0,0,0,0
59324,"10-17",14,2007,525,0,0,0,0
59324,"10-17",14,2007,540,0,0,0,0
59324,"10-17",14,2007,555,0,0,0,0
59324,"10-17",14,2007,570,0,0,0,0
59324,"10-17",14,2007,585,0,0,0,0
59324,"10-17",14,2007,600,0,0,0,0
59324,"10-17",14,2007,615,0,0,0,0
59324,"10-17",14,2007,630,0,0,0,0
59324,"10-17",14,2007,645,0,0,0,0
59324,"10-17",14,2007,660,0,0,0,0
59324,"10-17",14,2007,675,0,0,0,0
59324,"10-17",14,2007,690,0,0,0,0
59324,"10-17",14,2007,705,0,0,0,0
59324,"10-17",14,2007,720,0.9,0,1,1.04166666666667
59324,"10-17",14,2007,735,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,750,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,765,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,780,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,795,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,810,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,825,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,840,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,855,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,870,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,885,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,900,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,915,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,930,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,945,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,960,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,975,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,990,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,1005,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,1020,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,1035,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,1050,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,1065,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,1080,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,1095,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,1110,0,0.939999997615814,0,1.04166666666667
59324,"10-17",14,2007,1125,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1140,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1155,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1170,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1185,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1200,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1215,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1230,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1245,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1260,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1275,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1290,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1305,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1320,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1335,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1350,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1365,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1380,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1395,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1410,0,1.87999999523163,0,1.04166666666667
59324,"10-17",14,2007,1425,0,1.87999999523163,0,1.04166666666667
59328,"31-55",52,2007,0,0,0,0,0
59328,"31-55",52,2007,15,0,0,0,0
59328,"31-55",52,2007,30,0,0,0,0
59328,"31-55",52,2007,45,0,0,0,0
59328,"31-55",52,2007,60,0,0,0,0
59328,"31-55",52,2007,75,0,0,0,0
59328,"31-55",52,2007,90,0,0,0,0
59328,"31-55",52,2007,105,0,0,0,0
59328,"31-55",52,2007,120,0,0,0,0
59328,"31-55",52,2007,135,0,0,0,0
59328,"31-55",52,2007,150,0,0,0,0
59328,"31-55",52,2007,165,0,0,0,0
59328,"31-55",52,2007,180,0,0,0,0
59328,"31-55",52,2007,195,0,0,0,0
59328,"31-55",52,2007,210,0,0,0,0
59328,"31-55",52,2007,225,0,0,0,0
59328,"31-55",52,2007,240,0,0,0,0
59328,"31-55",52,2007,255,0,0,0,0
59328,"31-55",52,2007,270,0,0,0,0
59328,"31-55",52,2007,285,0,0,0,0
59328,"31-55",52,2007,300,0,0,0,0
59328,"31-55",52,2007,315,0,0,0,0
59328,"31-55",52,2007,330,0,0,0,0
59328,"31-55",52,2007,345,0,0,0,0
59328,"31-55",52,2007,360,0,0,0,0
59328,"31-55",52,2007,375,0,0,0,0
59328,"31-55",52,2007,390,0,0,0,0
59328,"31-55",52,2007,405,0,0,0,0
59328,"31-55",52,2007,420,0,0,0,0
59328,"31-55",52,2007,435,0,0,0,0
59328,"31-55",52,2007,450,0,0,0,0
59328,"31-55",52,2007,465,0,0,0,0
59328,"31-55",52,2007,480,0,0,0,0
59328,"31-55",52,2007,495,0,0,0,0
59328,"31-55",52,2007,510,0,0,0,0
59328,"31-55",52,2007,525,0,0,0,0
59328,"31-55",52,2007,540,0,0,0,0
59328,"31-55",52,2007,555,0,0,0,0
59328,"31-55",52,2007,570,0,0,0,0
59328,"31-55",52,2007,585,0,0,0,0
59328,"31-55",52,2007,600,0,0,0,0
59328,"31-55",52,2007,615,0,0,0,0
59328,"31-55",52,2007,630,0,0,0,0
59328,"31-55",52,2007,645,0,0,0,0
59328,"31-55",52,2007,660,0,0,0,0
59328,"31-55",52,2007,675,0,0,0,0
59328,"31-55",52,2007,690,0,0,0,0
59328,"31-55",52,2007,705,0,0,0,0
59328,"31-55",52,2007,720,0,0,0,0
59328,"31-55",52,2007,735,0,0,0,0
59328,"31-55",52,2007,750,0,0,0,0
59328,"31-55",52,2007,765,0,0,0,0
59328,"31-55",52,2007,780,0,0,0,0
59328,"31-55",52,2007,795,0,0,0,0
59328,"31-55",52,2007,810,0,0,0,0
59328,"31-55",52,2007,825,0,0,0,0
59328,"31-55",52,2007,840,0,0,0,0
59328,"31-55",52,2007,855,0,0,0,0
59328,"31-55",52,2007,870,0,0,0,0
59328,"31-55",52,2007,885,0,0,0,0
59328,"31-55",52,2007,900,0,0,0,0
59328,"31-55",52,2007,915,0,0,0,0
59328,"31-55",52,2007,930,0,0,0,0
59328,"31-55",52,2007,945,0,0,0,0
59328,"31-55",52,2007,960,0,0,0,0
59328,"31-55",52,2007,975,0,0,0,0
59328,"31-55",52,2007,990,0,0,0,0
59328,"31-55",52,2007,1005,0,0,0,0
59328,"31-55",52,2007,1020,0,0,0,0
59328,"31-55",52,2007,1035,0,0,0,0
59328,"31-55",52,2007,1050,0,0,0,0
59328,"31-55",52,2007,1065,0,0,0,0
59328,"31-55",52,2007,1080,0,0,0,0
