"AgeGroup","Year","n","share_no_trips","avg_distance_km","sd_distance_km","avg_hours_away","sd_hours_away","avg_first_trip_h","sd_first_trip_h","n_trippers","avg_last_trip_h","sd_last_trip_h"
"66+",2010,2406,0.278470490440565,14.4454239478082,32.8172146726173,3.26085480742588,3.84287360883216,10.9231950844854,2.61419723048411,1736,15.4425595238095,3.74244811190404
"10-17",2011,1514,0.0911492734478203,12.5726618414641,21.5118596095659,8.08781373844121,4.23791495692693,8.40128391472868,2.27252041958589,1376,17.3002301356589,3.09424362055781
"18-30",2011,1503,0.0785096473719228,27.0286626430354,39.6927501685297,8.43230206254158,4.83973937715409,9.13856799037304,3.15207565263405,1385,18.2892900120337,3.62643605661986
"31-55",2011,4310,0.0758700696055684,34.4703874634825,47.710971027864,8.57058004640371,4.47205994830653,8.31998493597791,2.59285932228206,3983,17.5942003514938,3.17828446027344
"56-65",2011,1917,0.159102764736568,26.238659361525,44.6759998345733,6.3000521648409,4.85740726084109,9.30107526881721,2.92445344912907,1612,16.7931348221671,3.52785821526686
"66+",2011,2078,0.300769971126083,13.9327718982253,33.8737485527379,3.33632499197947,4.00907112260094,10.8086717136958,2.58787141950769,1453,15.5800986464786,3.74826802338644
"10-17",2012,705,0.0836879432624113,13.1515035548426,24.7718479083504,8.21260047281324,4.30965952956422,8.46233230134159,2.42919547561356,646,17.425,3.19238323568995
"18-30",2012,929,0.0678148546824543,30.1502475644531,43.255146442462,8.73541442411195,4.93385764325402,9.35026943802925,3.29643137135021,866,18.7211701308699,3.54338043185185
"31-55",2012,2294,0.0697471665213601,35.5039668515838,48.754716096755,8.78554199360651,4.62332585303682,8.38733989378319,2.74685596645164,2134,17.8315916900968,3.29343929961913
"56-65",2012,915,0.139890710382514,27.7002075889438,45.5137143853024,6.68351548269581,4.88594799503726,9.30156713257094,2.94991296730556,787,17.0721092757306,3.51418462726274
"66+",2012,1029,0.281827016520894,17.3589504675196,35.4830083872473,3.38396501457726,3.83188545944479,10.8968200270636,2.68360713431864,739,15.6087280108254,3.6034940686793
"10-17",2013,668,0.0883233532934132,12.638772487883,26.0413231082385,7.67290419161677,4.06533107185305,8.36535303776683,2.19319978154632,609,16.7816091954023,3.10029418780991
"18-30",2013,912,0.0855263157894737,30.3369188911073,44.8733594426579,7.98528874269006,4.74539179367545,9.05315747402078,3.15010708160304,834,17.7852717825739,3.4020682238929
"31-55",2013,2088,0.0656130268199234,35.7547748665891,50.1586142868134,8.5250159642401,4.52726150516574,8.44490005125577,2.85695847475464,1951,17.5685460447634,3.27176662752511
"56-65",2013,835,0.12814371257485,28.2847305956737,45.4164625728398,6.58343313373253,4.93218671760975,9.22413003663004,3.02057782941244,728,16.7751831501831,3.59266344020173
"66+",2013,946,0.290697674418605,13.8792388826179,29.7710598807196,2.84439746300211,3.46636619846602,11.1676602086438,2.63487325207851,671,15.1777943368107,3.48830436839946
"10-17",2014,710,0.0887323943661972,13.507323940539,24.8410001926806,7.93598591549296,4.04558567384285,8.44925296239052,2.46506391778094,647,17.1579855744462,2.97254995970622
