"AgeGroup","Period","fraction_away","mean_distance","mean_distance_active","volume","dist_p90","var_distance","fraction_away_baseline","mean_distance_baseline","mean_distance_active_baseline","volume_baseline","dist_p90_baseline","var_distance_baseline","change_fraction_away","change_mean_distance_active","change_volume","pct_change_volume","pct_change_distance","pct_change_fraction_away"
"18-30","2019–2021",0.264063290230111,3.24991431713199,12.3781453384745,77.9979436111677,23.3917238819664,8.26307822044938,0.282698995845172,3.22486926740981,11.5238120346554,77.3968624178355,14.6088904780047,8.06601832856136,-0.0186357056150607,0.854333303819121,0.601081193332107,0.776622171176789,7.41363449221399,-6.59206643424624
"18-30","2022–2024",0.268224217237777,3.20108160148293,12.0068953542136,76.8259584355903,13.6595202207616,8.27883858248202,0.282698995845172,3.22486926740981,11.5238120346554,77.3968624178355,14.6088904780047,8.06601832856136,-0.0144747786073945,0.483083319558187,-0.57090398224527,-0.737631945805737,4.19204442163249,-5.12020870966306
"31-55","2007–2009",0.293837099264492,3.61624750754383,12.4474913271073,86.7899401810519,12.8773903581108,12.344112403378,0.287699517721774,3.84191602560625,13.5207824069326,92.2059846145499,14.5196452114459,13.8728897988734,0.00613758154271832,-1.07329107982527,-5.416044433498,-5.87385347723228,-7.93808411024314,2.13333049402391
"31-55","2010–2012",0.292695553403444,3.75966294916632,12.9856016424834,90.2319107799916,13.4842005393152,12.9507228597704,0.287699517721774,3.84191602560625,13.5207824069326,92.2059846145499,14.5196452114459,13.8728897988734,0.00499603568167079,-0.535180764449152,-1.97407383455825,-2.14093894535209,-3.95820854401699,1.73654642219537
"31-55","2013–2015",0.29540134647936,3.9508810371862,13.5339592440213,94.8211448924688,13.95715544026,14.6356287896823,0.287699517721774,3.84191602560625,13.5207824069326,92.2059846145499,14.5196452114459,13.8728897988734,0.00770182875758679,0.0131768370887375,2.61516027791892,2.83621533770407,0.0974561729651183,2.67703916175314
"31-55","2016–2018",0.302395187510183,4.12087986642641,13.7923500459867,98.9011167942339,14.6840664990907,15.7215401610492,0.287699517721774,3.84191602560625,13.5207824069326,92.2059846145499,14.5196452114459,13.8728897988734,0.0146956697884097,0.271567639054126,6.69513217968397,7.26106033970759,2.00852014980201,5.10799250022432
"31-55","2019–2021",0.268289365586503,3.73235215972192,14.0677759952768,89.5764518333262,15.0341823361911,13.4396400414353,0.287699517721774,3.84191602560625,13.5207824069326,92.2059846145499,14.5196452114459,13.8728897988734,-0.0194101521352703,0.546993588344202,-2.62953278122372,-2.85180272431989,4.04557644581085,-6.7466752426194
"31-55","2022–2024",0.273578554086658,3.87147263359279,14.2975161867199,92.915343206227,17.0808760957074,14.1456945379252,0.287699517721774,3.84191602560625,13.5207824069326,92.2059846145499,14.5196452114459,13.8728897988734,-0.0141209636351153,0.776733779787355,0.709358591677116,0.769319469492635,5.74473988568217,-4.90823333557734
"56-65","2007–2009",0.211702703924391,2.50395741940198,11.9269463265643,60.0949780656474,12.9118116379376,5.30505025043845,0.226152090630773,2.97930323125455,13.2466306963026,71.5032775501092,14.6758264563985,7.77244812638635,-0.0144493867063814,-1.31968436973833,-11.4082994844618,-15.954932242745,-9.96241534918519,-6.38923419459878
"56-65","2010–2012",0.209998509143117,2.63199145860316,12.6296956425806,63.1677950064758,13.6471867735058,5.85858431815761,0.226152090630773,2.97930323125455,13.2466306963026,71.5032775501092,14.6758264563985,7.77244812638635,-0.0161535814876552,-0.616935053722006,-8.3354825436334,-11.6574831661275,-4.65729790364129,-7.14279555966094
"56-65","2013–2015",0.212899482076141,2.81528909394712,13.3320507039771,67.566938254731,15.6809124586991,6.34693975622186,0.226152090630773,2.97930323125455,13.2466306963026,71.5032775501092,14.6758264563985,7.77244812638635,-0.0132526085546321,0.085420007674502,-3.93633929537827,-5.50511729007066,0.644843278512658,-5.86004246861859
"56-65","2016–2018",0.242931306638924,3.0969121055768,12.8911258176609,74.3258905338432,14.4351292765314,8.20612745232946,0.226152090630773,2.97930323125455,13.2466306963026,71.5032775501092,14.6758264563985,7.77244812638635,0.0167792160081514,-0.355504878641758,2.82261298373393,3.94752951255396,-2.68373812777151,7.4194388216141
