"AgeGroup","YearBin","n","share_no_trips","avg_distance_km","sd_distance_km","avg_hours_away","sd_hours_away","avg_first_trip_h","sd_first_trip_h","n_trippers","avg_last_trip_h","sd_last_trip_h","se_no_trips","ci_no_trips_low","ci_no_trips_high","ci_no_trips_label","se_distance","ci_distance_low","ci_distance_high","ci_distance_label","se_hours","ci_hours_low","ci_hours_high","ci_hours_label","se_first","ci_first_low","ci_first_high","ci_first_label","se_last","ci_last_low","ci_last_high","ci_last_label"
"10-17","2013–2015",2028,0.0857988165680473,12.7683826517598,23.925443809964,7.88116370808678,4.01104539018449,8.37774181948939,2.26679229824107,1854,16.9985616684646,2.93598789393899,0.00621910032860251,0.0736093799239864,0.0979882532121082,"7.4--9.8",0.531283131698614,11.7270677136306,13.8096975898891,"11.7--13.8",0.089068389836724,7.70658966400681,8.05573775216676,"7.71--8.06",0.0526449676908841,8.27455768281526,8.48092595616352,"8.27--8.48",0.068186656508927,16.8649158217071,17.1322075152221,"16.86--17.13"
"18-30","2013–2015",2693,0.0917192721871519,29.1192982143273,43.0782216176915,8.08618640920906,4.85982348185589,9.20935541019351,3.27705348775572,2446,18.1120945761788,3.46726904943532,0.00556188715033688,0.0808179733724916,0.102620571001812,"8.1--10.3",0.830117538226843,27.4922678394027,30.7463285892519,"27.5--30.7",0.0936488219216187,7.90263471824269,8.26973810017543,"7.9--8.27",0.0662605907596795,9.07948465230454,9.33922616808248,"9.08--9.34",0.0701066663686578,17.9746855100962,18.2495036422614,"17.97--18.25"
"31-55","2013–2015",6323,0.0702198323580579,37.5863782857865,52.4105510724192,8.58620117033054,4.52839917820576,8.3867863015252,2.788549897635,5879,17.6214435561603,3.21066457032234,0.00321335303870128,0.0639216604022034,0.0765180043139124,"6.4--7.7",0.659108838125962,36.2945249630597,38.8782316085134,"36.3--38.9",0.0569486078632066,8.47458189891866,8.69782044174242,"8.47--8.7",0.0363686089303657,8.31550382802168,8.45806877502872,"8.32--8.46",0.041873880135215,17.5393707510953,17.7035163612254,"17.54--17.7"
"56-65","2013–2015",2429,0.131741457389872,27.9910621916942,43.5219064530507,6.43750514615068,4.86650777073297,9.28670776039197,3.13864865825327,2109,16.7009799272957,3.45480016796591,0.00686233644647335,0.118291277954785,0.14519163682496,"11.8--14.5",0.883068012896297,26.2602488864175,29.7218754969709,"26.3--29.7",0.0987423965786389,6.24397004885655,6.63104024344481,"6.24--6.63",0.0683446326337421,9.15275228042984,9.42066324035411,"9.15--9.42",0.0752288879743633,16.553531306866,16.8484285477255,"16.55--16.85"
"66+","2013–2015",2875,0.258434782608696,16.5606782501923,35.7422342286999,3.24504347826087,3.68814915720014,11.0142667292058,2.65097626633152,2132,15.3902048155097,3.55550112830468,0.0081645308339169,0.242432302174219,0.274437263043173,"24.2--27.4",0.666596105510285,15.2541498833921,17.8672066169925,"15.3--17.9",0.0687843364519318,3.11022617881508,3.37986077770666,"3.11--3.38",0.0574132642361502,10.9017367313029,11.1267967271086,"10.9--11.13",0.0770029246824493,15.2392790831321,15.5411305478873,"15.24--15.54"
"10-17","2016–2018",2552,0.0924764890282132,14.9542868373803,24.1031401993104,8.25862068965517,4.10183750452373,8.26781088082902,2.23952592572488,2316,17.3679835924007,2.89507452551709,0.00573461510015068,0.0812366434319178,0.103716334624508,"8.1--10.4",0.477126229275711,14.0191194279999,15.8894542467607,"14--15.9",0.0811966509530195,8.09947525378725,8.41776612552309,"8.1--8.42",0.0465357606284512,8.17660078999725,8.35902097166078,"8.18--8.36",0.0601575956649768,17.2500747048973,17.485892479904,"17.25--17.49"
"18-30","2016–2018",2973,0.0914900773629331,29.6781567206485,45.8062377762322,8.37706020854356,4.7405256016881,9.09348389485376,3.05608536045858,2701,18.3141429100333,3.41289031092181,0.00528754869892887,0.0811264819130325,0.101853672812834,"8.1--10.2",0.840092618028534,28.0315751893126,31.3247382519845,"28--31.3",0.0869418829594397,8.20665411794306,8.54746629914406,"8.21--8.55",0.0588035016550015,8.97822903160995,9.20873875809756,"8.98--9.21",0.0656689448675984,18.1854317780928,18.4428540419738,"18.19--18.44"
"31-55","2016–2018",6449,0.0736548302062335,38.4070940991734,52.2710960929615,8.89300666770042,4.54854536226393,8.23744559758955,2.71431460620002,5974,17.8375460328088,3.12238273924579,0.00325267632432447,0.0672795846105576,0.0800300758019095,"6.7--8",0.650901719180548,37.1313267295796,39.6828614687673,"37.1--39.7",0.0566404039204176,8.7819914760164,9.00402185938444,"8.78--9",0.0351178221102541,8.16861466625346,8.30627652892565,"8.17--8.31",0.040397410582582,17.758367108067,17.9167249575507,"17.76--17.92"
"56-65","2016–2018",2495,0.11503006012024,32.8148096367314,51.3487871628614,7.43187040748163,4.85423594720674,8.81827445652174,2.91566097949419,2208,17.2161533816425,3.31049333881326,0.00638755507806707,0.102510452167229,0.127549668073252,"10.3--12.8",1.02800426203604,30.7999212831407,34.829697990322,"30.8--34.8",0.0971819495332947,7.24139378639637,7.62234702856689,"7.24--7.62",0.062049386256822,8.69665765945837,8.93989125358511,"8.7--8.94",0.0704519768674531,17.0780675069823,17.3542392563027,"17.08--17.35"
"66+","2016–2018",3378,0.25133214920071,16.4282918771163,34.8312924370995,3.68278073810933,3.94606720789853,10.7958349808884,2.62242749638818,2529,15.7149466192171,3.60866807604389,0.00746343563751661,0.236703815351178,0.265960483050243,"23.7--26.6",0.599293775421993,15.2536760772892,17.6029076769434,"15.3--17.6",0.0678945094949041,3.54970749949932,3.81585397671935,"3.55--3.82",0.0521469695656468,10.6936269205397,10.898043041237,"10.69--10.9",0.0717583630407934,15.5743002276571,15.855593010777,"15.57--15.86"
"10-17","2019–2021",1854,0.106256742179072,13.0474649430941,26.8083235398982,7.65776699029126,4.19743625940519,8.57860591430296,2.55598927369966,1657,17.1468014484007,2.89159099323557,0.00715697948892088,0.0922290623807874,0.120284421977357,"9.2--12",0.62260813560194,11.8271529973143,14.2677768888739,"11.8--14.3",0.0974830805770769,7.46670015236019,7.84883382822233,"7.47--7.85",0.0627910539472329,8.45553544856638,8.70167638003953,"8.46--8.7",0.0710355273857546,17.0075718147246,17.2860310820768,"17.01--17.29"
"18-30","2019–2021",2980,0.108724832214765,26.4554026821616,42.3071153212618,7.72440156599553,4.97823800163797,9.46115712851406,3.40552973015848,2656,18.1278426204819,3.48597574016435,0.00570245864419937,0.0975480132721343,0.119901651157396,"9.8--12",0.77500638811105,24.9363901614639,27.9744152028592,"24.9--28",0.0911942642155906,7.54566080813297,7.90314232385808,"7.55--7.9",0.0660800922592763,9.33164014768587,9.59067410934224,"9.33--9.59",0.067641047583202,17.9952661672189,18.260419073745,"18--18.26"
"31-55","2019–2021",5847,0.0891055242004447,33.5580246129338,48.2614802841237,8.2804942705661,4.64569393866425,8.53105833020403,2.9339483969296,5326,17.6215671548379,3.12189126791551,0.00372580226122143,0.0818029517684507,0.0964080966324387,"8.2--9.6",0.631152187272096,32.3209663258805,34.7950828999871,"32.3--34.8",0.0607552829611245,8.1614139159623,8.39957462516991,"8.16--8.4",0.0402023916406079,8.45226164258844,8.60985501781962,"8.45--8.61",0.0427776765070161,17.5377229088842,17.7054114007917,"17.54--17.71"
"56-65","2019–2021",2149,0.124243834341554,32.569520728211,50.9087655671153,7.18983248022336,4.90696948503512,8.94155154091392,3.11202838328438,1882,17.1514080765143,3.3937390790889,0.00711558837612317,0.110297281124353,0.138190387558756,"11--13.8",1.09818209518164,30.417083821655,34.721957634767,"30.4--34.7",0.10585104490432,6.98236443221089,7.39730052823583,"6.98--7.4",0.0717354355924791,8.80095008715266,9.08215299467518,"8.8--9.08",0.0782291551173857,16.9980789324843,17.3047372205444,"17--17.3"
"66+","2019–2021",3480,0.280172413793103,16.6644108987445,36.4218742067811,3.48028256704981,3.98814930741762,10.8839654025283,2.62672115500229,2505,15.7188489687292,3.57888126871363,0.00761267531067504,0.26525157018418,0.295093257402027,"26.5--29.5",0.617408590827161,15.4542900607233,17.8745317367658,"15.5--17.9",0.0676054623087625,3.34777586092463,3.61278927317498,"3.35--3.61",0.0524819673474738,10.7811007465272,10.9868300585293,"10.78--10.99",0.0715061549367049,15.5786969050533,15.8590010324051,"15.58--15.86"
"10-17","2022–2024",2112,0.103693181818182,13.6461127065801,27.6987457522605,7.73846275252525,4.17141699767532,8.45822327874626,2.39147464586868,1893,17.0919440042261,2.97758802864358,0.00663371017835414,0.0906911098686077,0.116695253767756,"9.1--11.7",0.602716591683294,12.4647881868809,14.8274372262794,"12.5--14.8",0.0907688116211343,7.56055588174783,7.91636962330268,"7.56--7.92",0.0549655368270525,8.35049082656523,8.56595573092728,"8.35--8.57",0.0684367382806813,16.957807997196,17.2260800112562,"16.96--17.23"
"18-30","2022–2024",3584,0.114118303571429,27.1840736876797,44.9394246785394,7.84209449404762,4.89814139553436,9.25041994750656,3.32989475531097,3175,18.1027244094488,3.43645088516564,0.0053110637859415,0.103708618550983,0.124527988591874,"10.4--12.5",0.750660403151018,25.7127792975037,28.6553680778557,"25.7--28.7",0.081817709527073,7.68173178337456,8.00245720472068,"7.68--8",0.0590960757359154,9.13459163906417,9.36624825594896,"9.13--9.37",0.06098714124481,17.983189612609,18.2222592062886,"17.98--18.22"
"31-55","2022–2024",6813,0.100543079407016,33.9042477652567,49.2954960341489,8.13327217574245,4.66382581594204,8.39866187989556,2.8580271377697,6128,17.4410873585727,3.11834413943309,0.00364331801002518,0.0934021761073666,0.107683982706665,"9.3--10.8",0.597225092764105,32.733686583439,35.0748089470743,"32.7--35.1",0.0565032108335433,8.02252588250871,8.2440184689762,"8.02--8.24",0.0365095911792914,8.32710308118415,8.47022067860697,"8.33--8.47",0.0398349855333723,17.3630107869273,17.5191639302181,"17.36--17.52"
"56-65","2022–2024",2798,0.124374553252323,32.1737454791458,48.5134852995503,7.20133428639504,4.8561891234715,8.84761904761905,3.04837515412055,2450,17.0718367346939,3.29307357078321,0.00623880050911784,0.112146504254452,0.136602602250194,"11.2--13.7",0.917146306018794,30.376138719349,33.9713522389427,"30.4--34",0.0918061419092025,7.02139424825301,7.38127432453708,"7.02--7.38",0.0615864783736923,8.72690955000661,8.96832854523148,"8.73--8.97",0.0665301329384858,16.9414376741344,17.2022357952533,"16.94--17.2"
"66+","2022–2024",4433,0.254455222197158,15.6872614253322,33.5854198611203,3.58091585833521,3.94259692408184,10.8654311649017,2.59974247818814,3305,15.668517397882,3.59068012747163,0.00654174610938513,0.241633399822763,0.267277044571552,"24.2--26.7",0.504431171676235,14.6985763288468,16.6759465218177,"14.7--16.7",0.059215242628662,3.46485398278304,3.69697773388739,"3.46--3.7",0.0452214619527997,10.7767970994742,10.9540652303292,"10.78--10.95",0.0624584189132064,15.5460988968121,15.7909358989519,"15.55--15.79"
