"AgeGroup","Period","end_year","bandwidth","H_T","bw_label","mean_distance_active","baseline_mda","drift_distance","fraction_away","baseline_frac","drift_fraction"
"56-65","2013-2015",2015,"ht05",0.5,"H_T = 0.5 h",13.3380112414132,13.2477442179755,0.0902670234376899,0.212900623190878,0.226147045505215,-0.0132464223143374
"56-65","2016-2018",2018,"ht05",0.5,"H_T = 0.5 h",12.8930999635187,13.2477442179755,-0.354644254456788,0.24292239162121,0.226147045505215,0.0167753461159946
"56-65","2019-2021",2021,"ht05",0.5,"H_T = 0.5 h",13.8865494567152,13.2477442179755,0.638805238739783,0.237164465492991,0.226147045505215,0.0110174199877755
"56-65","2022-2024",2024,"ht05",0.5,"H_T = 0.5 h",14.8098148259221,13.2477442179755,1.56207060794665,0.242199302903395,0.226147045505215,0.0160522573981795
"56-65","2007-2009",2009,"ht20",2,"H_T = 2 h",11.9249889915064,13.2445698191322,-1.31958082762587,0.211702907237516,0.226151935431527,-0.0144490281940116
"56-65","2010-2012",2012,"ht20",2,"H_T = 2 h",12.6281563243801,13.2445698191322,-0.616413494752093,0.209998482299534,0.226151935431527,-0.0161534531319937
"56-65","2013-2015",2015,"ht20",2,"H_T = 2 h",13.3278556105531,13.2445698191322,0.0832857914208631,0.212898038358605,0.226151935431527,-0.0132538970729226
"56-65","2016-2018",2018,"ht20",2,"H_T = 2 h",12.8880104580494,13.2445698191322,-0.35655936108285,0.242930990501293,0.226151935431527,0.0167790550697652
"56-65","2019-2021",2021,"ht20",2,"H_T = 2 h",13.8862183471878,13.2445698191322,0.641648528055574,0.237174844855056,0.226151935431527,0.0110229094235286
"56-65","2022-2024",2024,"ht20",2,"H_T = 2 h",14.8121891831166,13.2445698191322,1.56761936398438,0.242206349337162,0.226151935431527,0.0160544139056343
"66+","2007-2009",2009,"baseline",1,"H_T = 1 h (baseline)",9.64541915780949,10.8592674113451,-1.21384825353564,0.0875403845529533,0.0888082799720869,-0.00126789541913352
"66+","2010-2012",2012,"baseline",1,"H_T = 1 h (baseline)",10.5253423758504,10.8592674113451,-0.33392503549473,0.0846983449634382,0.0888082799720869,-0.00410993500864863
"66+","2013-2015",2015,"baseline",1,"H_T = 1 h (baseline)",10.6511914539185,10.8592674113451,-0.208075957426619,0.0851548512254446,0.0888082799720869,-0.00365342874664223
"66+","2016-2018",2018,"baseline",1,"H_T = 1 h (baseline)",11.4106045884765,10.8592674113451,0.551337177131368,0.093943932958283,0.0888082799720869,0.00513565298619617
"66+","2019-2021",2021,"baseline",1,"H_T = 1 h (baseline)",11.977145259226,10.8592674113451,1.11787784788085,0.0890602649722611,0.0888082799720869,0.000251985000174204
"66+","2022-2024",2024,"baseline",1,"H_T = 1 h (baseline)",10.9459016327899,10.8592674113451,0.0866342214447737,0.0924519011601409,0.0888082799720869,0.003643621188054
"66+","2007-2009",2009,"ht05",0.5,"H_T = 0.5 h",9.65932854989692,10.8737359787535,-1.21440742885655,0.0875492985448303,0.0888131458714294,-0.00126384732659911
"66+","2010-2012",2012,"ht05",0.5,"H_T = 0.5 h",10.5391785915694,10.8737359787535,-0.33455738718404,0.0847030261528042,0.0888131458714294,-0.00411011971862517
"66+","2013-2015",2015,"ht05",0.5,"H_T = 0.5 h",10.6655461220327,10.8737359787535,-0.208189856720741,0.0851581499476624,0.0888131458714294,-0.00365499592376699
"66+","2016-2018",2018,"ht05",0.5,"H_T = 0.5 h",11.425886046171,10.8737359787535,0.552150067417518,0.0939476096421552,0.0888131458714294,0.00513446377072578
"66+","2019-2021",2021,"ht05",0.5,"H_T = 0.5 h",11.9967533233774,10.8737359787535,1.12301734462393,0.0890652356298652,0.0888131458714294,0.000252089758435825
"66+","2022-2024",2024,"ht05",0.5,"H_T = 0.5 h",10.9557232394733,10.8737359787535,0.081987260719881,0.092455555311259,0.0888131458714294,0.00364240943982963
"66+","2007-2009",2009,"ht20",2,"H_T = 2 h",9.63711859830517,10.8518960375244,-1.21477743921921,0.0875394255478688,0.0888069443876206,-0.00126751883975183
"66+","2010-2012",2012,"ht20",2,"H_T = 2 h",10.5183960078562,10.8518960375244,-0.333500029668169,0.084696994490266,0.0888069443876206,-0.00410994989735462
"66+","2013-2015",2015,"ht20",2,"H_T = 2 h",10.6465131822306,10.8518960375244,-0.205382855293809,0.08515321156881,0.0888069443876206,-0.00365373281881064
"66+","2016-2018",2018,"ht20",2,"H_T = 2 h",11.4000785613524,10.8518960375244,0.548182523828061,0.0939428405606763,0.0888069443876206,0.00513589617305564
"66+","2019-2021",2021,"ht20",2,"H_T = 2 h",11.9683390360244,10.8518960375244,1.11644299850006,0.0890579879700514,0.0888069443876206,0.000251043582430804
"66+","2022-2024",2024,"ht20",2,"H_T = 2 h",10.9409308393774,10.8518960375244,0.0890348018530656,0.0924512061880513,0.0888069443876206,0.00364426180043065
